Property_Key,Property_ID,Latitude,Longitude,Accommodates,Availability_365,Has_availability,Reviews_per_month,Calculated_host_listings_count,Property_type,Instant_bookable,Room_type,Bedrooms,Beds,Bathrooms,Bathrooms_type,Neighbourhood_cleansed,Number_of_reviews,Number_of_reviews_l30d,Review_scores_rating,Review_scores_accuracy,Review_scores_checkin,Review_scores_cleanliness,Review_scores_communication,Review_scores_location,Review_scores_value,Amenity_Count,avgprice
21,18622311,52.39061,4.9376,2,101,1,0,1,Room in bed and breakfast,1,Hotel room,0,3,1.5,shared bath(s),Oud-Noord,0,0,0,0,0,0,0,0,0,20,150
22,27186389,52.36995,4.88008,2,97,1,0.17,2,Room in bed and breakfast,1,Hotel room,0,1,1,shared bath(s),Centrum-West,4,0,100,10,10,10,10,10,10,10,120
23,31944927,52.37674,4.89624,1,2,1,1.45,3,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Centrum-West,22,0,91,9,9,9,9,10,9,16,56.60821918
24,31945057,52.36032,4.8784,1,1,1,8.99,3,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Zuid,140,0,92,9,10,9,10,10,9,17,47.97814208
25,32624963,52.38499,4.90297,1,361,1,0.42,12,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Oud-Noord,7,0,97,10,10,10,10,10,9,5,84.08493151
26,34032786,52.36189,4.86455,2,358,1,0.54,4,Room in boutique hotel,1,Hotel room,1,1,1,shared bath(s),De Baarsjes - Oud-West,8,0,98,10,10,10,10,10,10,19,154.5342466
27,36863220,52.35365,4.91408,1,111,1,0,5,Room in boutique hotel,1,Hotel room,1,1,1,shared bath(s),Oud-Oost,0,0,0,0,0,0,0,0,0,21,1206.956164
28,32624425,52.38464,4.90335,1,362,1,0.51,12,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Oud-Noord,9,0,98,10,10,10,10,10,10,6,35.79726027
29,32624429,52.38322,4.90283,1,1,1,8.91,12,Room in hostel,1,Hotel room,1,1,1,shared bath(s),Oud-Noord,155,1,93,10,10,9,10,10,9,6,44.83606557
30,33980766,52.36189,4.86455,3,352,1,3.82,4,Room in boutique hotel,1,Hotel room,1,2,1,shared bath(s),De Baarsjes - Oud-West,53,3,91,9,9,9,9,9,9,10,162.2438356
